2636,21613,13838166
1683,13042,4395100
7025,65660,13384300
4291,37592,8794000
9474,91437,22662933
3494,29806,7808400
6870,63861,14235933
8578,82738,18660200
7543,71172,10305133
3555,30327,3484933
7171,67335,12821033
4934,44433,5268300
1977,15894,2259766
5189,47395,6928400
7362,69189,12866066
8648,83391,16634033
8628,83185,13259266
5491,49819,7633200
1372,10214,1493400
8785,84599,10777400
8033,76868,8824133
2637,21620,2186966
6604,60910,7063533
7078,66285,8449933
6068,55353,6541100
2348,18865,1774700
2313,18547,1767766
4343,38203,4469700
6098,55678,6225366
5228,47658,6593000
6091,55596,8339333
1702,13166,1256000
6621,61080,7216066
6804,63092,6714100
6534,60193,6682266
1220,9143,897200
5875,53515,5890766
2667,21932,2110100
1392,10397,1013000
2843,23635,2275433
5300,48198,5059933
7487,70532,8577066
6616,61029,7006166
1107,8038,724833
1975,15886,1596500
8106,77756,9803800
9267,89251,12528666
4455,39363,4526866
4393,38788,4196433
6861,63779,6831733
6055,55215,6109466
1683,13042,1235300
4272,37397,3933533
6380,58792,6472733
8684,83653,9803700
3876,33410,3475366
1229,9182,838700
8807,84831,9460533
1739,13479,1279266
6051,55168,6125366
5928,54074,5821233
7623,72103,7842666
6874,63905,7096233
7845,74693,8112633
1029,7364,679233
