2636,21613,19336400
1683,13042,3930133
7025,65660,19034500
4291,37592,10769700
9474,91437,21826333
3494,29806,6417233
6870,63861,16625066
8578,82738,21937533
7543,71172,12336733
3555,30327,4321866
7171,67335,13092633
4934,44433,7797433
1977,15894,2680900
5189,47395,7661366
7362,69189,13447966
8648,83391,24386433
8628,83185,13470833
5491,49819,7738700
1372,10214,1495533
8785,84599,10955166
8033,76868,9556966
2637,21620,2786766
6604,60910,6897400
7078,66285,8132333
6068,55353,6126466
2348,18865,1914500
2313,18547,1826133
4343,38203,3894466
6098,55678,6721866
5228,47658,5400433
6091,55596,8818533
1702,13166,1208000
6621,61080,6761566
6804,63092,7158133
6534,60193,6569300
1220,9143,830000
5875,53515,5838533
2667,21932,2230600
1392,10397,942000
2843,23635,2282766
5300,48198,4923966
7487,70532,7689033
6616,61029,6486266
1107,8038,714800
1975,15886,1475966
8106,77756,9673800
9267,89251,11754500
4455,39363,3939500
4393,38788,4348166
6861,63779,7321933
6055,55215,5744133
1683,13042,1215900
4272,37397,3942966
6380,58792,6268300
8684,83653,10458300
3876,33410,3297266
1229,9182,892200
8807,84831,9654433
1739,13479,1290200
6051,55168,5903233
5928,54074,5752266
7623,72103,8657500
6874,63905,6857700
7845,74693,8031200
1029,7364,660766
